,Date,Item,Size,Brand,Color,Design,Style,Qty,Department,Product Category,product,size
0,02-04-2014,MERINO WOOL EMBROIDERY GREY-BLACK,FS,JAIPUR MODERN,GREY-BLACK,EMBROIDERY,MERINO WOOL EMBROIDERY GREY-BL,1,UNISEX,CLOTHS,SCARF,FREE SIZE
1,02-04-2014,PASHMINA WEAVING OFFWHITE- MULTI 1,FS,JAIPUR MODERN,OFFWHITE- MULTI 1,WEAVING,PASHMINA WEAVING OFFWHITE- MUL,1,UNISEX,CLOTHS,SCARF,FREE SIZE
2,02-04-2014,PASHMINA WEAVING NATURAL- MULTI 2,FS,JAIPUR MODERN,NATURAL- MULTI 2,WEAVING,PASHMINA WEAVING NATURAL- MULT,1,UNISEX,CLOTHS,SCARF,FREE SIZE
3,02-04-2014,PASHMINA WEAVING OFF WHITE-  BLUE- LIGHT BLUE,FS,JAIPUR MODERN,OFF WHITE-  BLUE- LIGHT BLUE,WEAVING,PASHMINA WEAVING OFF WHITE-  B,1,UNISEX,CLOTHS,SCARF,FREE SIZE
4,02-04-2014,STYLE 05 S. INDIGO- BROWN,FS,JAIPUR MODERN,S. INDIGO- BROWN,ATTAR,STYLE 05,1,UNISEX,ACCESSORIES,BAG,FREE SIZE
5,02-04-2014,STYLE 08 MULTICOLORED RED,FS,JAIPUR MODERN,MULTICOLORED RED,ATTAR,STYLE 08,1,UNISEX,ACCESSORIES,BAG,FREE SIZE
6,02-04-2014,NPS140ARGCHC,FS,ZARiiN,NATURAL,MARK OF IMMORTAL,NPS140ARGCHC,1,WOMEN,ACCESSORIES,NECKLACE & PENDANT,FREE SIZE
7,02-04-2014,RS005RQ,FS,ZARiiN,NATURAL,THE STUNNER,RS005RQ,1,WOMEN,ACCESSORIES,RINGS,FREE SIZE
8,03-04-2014,SS14-T6 BLACK,S,RASHMIVARMA,BLACK,Odhni V neck top,SS14-T6,1,WOMEN,CLOTHS,TOP,SMALL
9,03-04-2014,SS14-T6 WHITE,S,RASHMIVARMA,WHITE,Odhni V neck top,SS14-T6,1,WOMEN,CLOTHS,TOP,SMALL
10,03-04-2014,RB09991056001 RB-09/9 x 9 NEWSPRINT BLOCK - PLAIN,200,RUBBERBAND,RB-09/9 x 9 NEWSPRINT BLOCK -,ATTAR,RB09991056001,1,WELLNESS,CLOTHS,STATIONARY,200
11,03-04-2014,RB17251130622 RB-17/B5-KRAFT CARD - NATURAL - RULED - PACK OF 2,64,RUBBERBAND,RB-17/B5-KRAFT CARD - NATURAL,ATTAR,RB17251130622,1,WELLNESS,CLOTHS,STATIONARY,64
12,03-04-2014,RB32181030741  CANVAS NATURAL PLAIN,160,RUBBERBAND,NATURAL PLAIN,REGULAR,RB32181030741,2,WELLNESS,CLOTHS,STATIONARY,160
13,03-04-2014,RB25151748651 RB-25/ WINE JOURNAL,FS,RUBBERBAND,RB-25/ WINE JOURNAL,ATTAR,RB25151748651,1,WELLNESS,CLOTHS,STATIONARY,FREE SIZE
14,03-04-2014,IKAT GRID COTTON BLACK-MULTI,215x230,JAIPUR MODERN,BLACK-MULTI,IKAT,IKAT GRID,1,UNISEX,BEDROOM,QUILT,215x230
15,03-04-2014,MEN WALLET 1 BEADS MULTI,FS,JAIPUR MODERN,BEADS MULTI,EMBRODERY,MEN WALLET 1,1,MEN,ACCESSORIES,WALLET,FREE SIZE
16,04-04-2014,NPS029BL,FS,ZARiiN,NATURAL,ATTAR,NPS029BL,1,WOMEN,ACCESSORIES,NECKLACE & PENDANT,FREE SIZE
17,04-04-2014,M CASHMERE SHIBORI AURORA RED C,FS,JAIPUR MODERN,AURORA RED C,SHIBORI,M CASHMERE SHIBORI AURORA RED,1,WOMEN,CLOTHS,SCARF,FREE SIZE
18,04-04-2014,MODAL  SHIBORI COLOR 03,FS,JAIPUR MODERN,COLOR 03,SHIBORI,MODAL  SHIBORI COLOR 03,1,WOMEN,CLOTHS,SCARF,FREE SIZE
