,Date,Item,Size,Brand,Color,Design,Style,Qty,Department,Product Category,product,size
0,2014-04-02,MERINO WOOL EMBROIDERY GREY-BLACK,FS,JAIPUR MODERN,GREY-BLACK,EMBROIDERY,MERINO WOOL EMBROIDERY GREY-BL,1.0,UNISEX,CLOTHS,SCARF,FREE SIZE
1,2014-04-02,PASHMINA WEAVING OFFWHITE- MULTI 1,FS,JAIPUR MODERN,OFFWHITE- MULTI 1,WEAVING,PASHMINA WEAVING OFFWHITE- MUL,1.0,UNISEX,CLOTHS,SCARF,FREE SIZE
2,2014-04-02,PASHMINA WEAVING NATURAL- MULTI 2,FS,JAIPUR MODERN,NATURAL- MULTI 2,WEAVING,PASHMINA WEAVING NATURAL- MULT,1.0,UNISEX,CLOTHS,SCARF,FREE SIZE
3,2014-04-02,PASHMINA WEAVING OFF WHITE-  BLUE- LIGHT BLUE,FS,JAIPUR MODERN,OFF WHITE-  BLUE- LIGHT BLUE,WEAVING,PASHMINA WEAVING OFF WHITE-  B,1.0,UNISEX,CLOTHS,SCARF,FREE SIZE
4,2014-04-02,STYLE 05 S. INDIGO- BROWN,FS,JAIPUR MODERN,S. INDIGO- BROWN,ATTAR,STYLE 05,1.0,UNISEX,ACCESSORIES,BAG,FREE SIZE
5,2014-04-02,STYLE 08 MULTICOLORED RED,FS,JAIPUR MODERN,MULTICOLORED RED,ATTAR,STYLE 08,1.0,UNISEX,ACCESSORIES,BAG,FREE SIZE
6,2014-04-02,NPS140ARGCHC,FS,ZARiiN,NATURAL,MARK OF IMMORTAL,NPS140ARGCHC,1.0,WOMEN,ACCESSORIES,NECKLACE & PENDANT,FREE SIZE
7,2014-04-02,RS005RQ,FS,ZARiiN,NATURAL,THE STUNNER,RS005RQ,1.0,WOMEN,ACCESSORIES,RINGS,FREE SIZE
8,2014-04-03,SS14-T6 BLACK,S,RASHMIVARMA,BLACK,Odhni V neck top,SS14-T6,1.0,WOMEN,CLOTHS,TOP,SMALL
9,2014-04-03,SS14-T6 WHITE,S,RASHMIVARMA,WHITE,Odhni V neck top,SS14-T6,1.0,WOMEN,CLOTHS,TOP,SMALL
10,2014-04-03,RB09991056001 RB-09/9 x 9 NEWSPRINT BLOCK - PLAIN,200,RUBBERBAND,RB-09/9 x 9 NEWSPRINT BLOCK -,ATTAR,RB09991056001,1.0,WELLNESS,CLOTHS,STATIONARY,200
11,2014-04-03,RB17251130622 RB-17/B5-KRAFT CARD - NATURAL - RULED - PACK OF 2,64,RUBBERBAND,RB-17/B5-KRAFT CARD - NATURAL,ATTAR,RB17251130622,1.0,WELLNESS,CLOTHS,STATIONARY,64
12,2014-04-03,RB32181030741  CANVAS NATURAL PLAIN,160,RUBBERBAND,NATURAL PLAIN,REGULAR,RB32181030741,2.0,WELLNESS,CLOTHS,STATIONARY,160
13,2014-04-03,RB25151748651 RB-25/ WINE JOURNAL,FS,RUBBERBAND,RB-25/ WINE JOURNAL,ATTAR,RB25151748651,1.0,WELLNESS,CLOTHS,STATIONARY,FREE SIZE
14,2014-04-03,IKAT GRID COTTON BLACK-MULTI,215x230,JAIPUR MODERN,BLACK-MULTI,IKAT,IKAT GRID,1.0,UNISEX,BEDROOM,QUILT,215x230
15,2014-04-03,MEN WALLET 1 BEADS MULTI,FS,JAIPUR MODERN,BEADS MULTI,EMBRODERY,MEN WALLET 1,1.0,MEN,ACCESSORIES,WALLET,FREE SIZE
16,2014-04-04,NPS029BL,FS,ZARiiN,NATURAL,ATTAR,NPS029BL,1.0,WOMEN,ACCESSORIES,NECKLACE & PENDANT,FREE SIZE
17,2014-04-04,M CASHMERE SHIBORI AURORA RED C,FS,JAIPUR MODERN,AURORA RED C,SHIBORI,M CASHMERE SHIBORI AURORA RED,1.0,WOMEN,CLOTHS,SCARF,FREE SIZE
18,2014-04-04,MODAL  SHIBORI COLOR 03,FS,JAIPUR MODERN,COLOR 03,SHIBORI,MODAL  SHIBORI COLOR 03,1.0,WOMEN,CLOTHS,SCARF,FREE SIZE
19,2014-04-05,SAADA-19 WHITE - RED,M,INJIRI,WHITE - RED,SAADA-19,ROLLON BOTTLE,1.0,WOMEN,CLOTHS,CHEMISE,MEDIUM
20,2014-04-05,ABHO-33 OLD PINK,M,INJIRI,OLD PINK,ABHO-33,ABHO-33,1.0,WOMEN,ACCESSORIES,TILAK,MEDIUM
21,2014-04-05,PASHMINA HAND PAINTED-EMBROIDERED,FS,JAIPUR MODERN,NATURAL,HAND PAINTED-EMBROIDERED,PASHMINA HAND PAINTED-EMBROID,3.0,UNISEX,CLOTHS,SCARF,FREE SIZE
22,2014-04-05,SHAWL HAND PAINTED-EMBROIDERED,FS,JAIPUR MODERN,NATURAL,HAND PAINTED-EMBROIDERED,SHAWL HAND PAINTED-EMBROIDERED,1.0,UNISEX,CLOTHS,SHAWL,FREE SIZE
23,2014-04-06,STD WEAVING - EMBROIDERY NATURAL- GREY- WHITE,FS,JAIPUR MODERN,NATURAL- GREY- WHITE,WEAVING - EMBROIDERY,STD WEAVING - EMBROIDERY NATUR,1.0,UNISEX,CLOTHS,SCARF,FREE SIZE
24,2014-04-06,KINARI 52 LIGHT BLUE,M,INJIRI,LIGHT BLUE,VICTORIA SHIRT,KINARI 52,1.0,WOMEN,CLOTHS,DRESS,MEDIUM
25,2014-04-08,BUTTERFLY KURTA YELLOW,M,OH LA LA,YELLOW,I NECK,BUTTERFLY,1.0,WOMEN,CLOTHS,KURTA,MEDIUM
26,2014-04-08,BUTTERFLY KURTA PURPLE,M,OH LA LA,PURPLE,I NECK,BUTTERFLY,1.0,WOMEN,CLOTHS,KURTA,MEDIUM
27,2014-04-08,BUTTERFLY KURTA GREEN,M,OH LA LA,GREEN,I NECK,BUTTERFLY,1.0,WOMEN,CLOTHS,KURTA,MEDIUM
28,2014-04-08,BUTTERFLY KURTA PINK,M,OH LA LA,PINK,I NECK,BUTTERFLY,1.0,WOMEN,CLOTHS,KURTA,MEDIUM
29,2014-04-08,NEW RIDER TEA ROSE,M,11.11,TEA ROSE,KHADI COTTON,NEW RIDER,-1.0,WOMEN,CLOTHS,SHIRT,MEDIUM
30,2014-04-08,CH 16 BLUE,S,INJIRI,BLUE,LAL KANI IKAT SMOKE,CH 16,1.0,WOMEN,CLOTHS,DRESS,SMALL
31,2014-04-08,STYLE 1 KURTA MENS VIOLET,M,OH LA LA,VIOLET,MENDARIN,STYLE 1,1.0,MEN,CLOTHS,KURTA,MEDIUM
32,2014-04-08,STYLE 1 KURTA MENS WHITE,M,OH LA LA,WHITE,MENDARIN,STYLE 1,1.0,MEN,CLOTHS,KURTA,MEDIUM
33,2014-04-08,TJ-682FUSHIA,L,K.MEHTA,FUSHIA,ATTAR,TJ-682,1.0,WOMEN,CLOTHS,DGELLABA,LARGE
34,2014-04-08,STD WEAVING - EMBROIDERY NATURAL- BLUE- WHITE,FS,JAIPUR MODERN,NATURAL- BLUE- WHITE,WEAVING - EMBROIDERY,STD WEAVING - EMBROIDERY NATUR,1.0,UNISEX,CLOTHS,SCARF,FREE SIZE
35,2014-04-08,BUTTERFLY KURTA GREY,L,OH LA LA,GREY,I NECK,BUTTERFLY,1.0,WOMEN,CLOTHS,KURTA,LARGE
36,2014-04-08,SMOKING PANT PANTS PINK,L,OH LA LA,PINK,PANTS,SMOKING PANT,1.0,WOMEN,CLOTHS,PANTS,LARGE
37,2014-04-08,SMOKING PANT PANTS GREY,L,OH LA LA,GREY,PANTS,SMOKING PANT,1.0,WOMEN,CLOTHS,PANTS,LARGE
38,2014-04-09,RB17161230642 RB-17/A6 - GREY CARD - NATURAL - CHECKS - PACK OF 2,64,RUBBERBAND,RB-17/A6 - GREY CARD - NATURAL,ATTAR,RB17161230642,1.0,WELLNESS,CLOTHS,STATIONARY,64
39,2014-04-09,RB18151230621 RB-18/A5- PAD - KRAFT CARD - NATURAL - CHECKS,70,RUBBERBAND,RB-18/A5- PAD - KRAFT CARD - N,ATTAR,RB18151230621,1.0,WELLNESS,CLOTHS,STATIONARY,70
40,2014-04-09,BUTTERFLY KURTA RED,L,OH LA LA,RED,I NECK,BUTTERFLY,1.0,WOMEN,CLOTHS,KURTA,LARGE
41,2014-04-09,BUTTERFLY KURTA PURPLE,L,OH LA LA,PURPLE,I NECK,BUTTERFLY,1.0,WOMEN,CLOTHS,KURTA,LARGE
